date,passengers
1949-01,542
1949-02,313
1949-03,760
1949-04,839
1949-05,220
1949-06,486
1949-07,315
1949-08,67
1949-09,455
1949-10,938
1949-11,387
1949-12,242
1950-01,381
1950-02,576
1950-03,938
1950-04,701
1950-05,131
1950-06,973
1950-07,352
1950-08,471
1950-09,589
1950-10,411
1950-11,270
1950-12,212
1951-01,935
1951-02,831
1951-03,104
1951-04,59
1951-05,622
1951-06,100
1951-07,704
1951-08,586
1951-09,982
1951-10,274
1951-11,259
1951-12,509
1952-01,881
1952-02,400
1952-03,124
1952-04,214
1952-05,715
1952-06,868
1952-07,65
1952-08,394
1952-09,875
1952-10,560
1952-11,451
1952-12,310
1953-01,503
1953-02,302
1953-03,998
1953-04,426
1953-05,805
1953-06,177
1953-07,944
1953-08,938
1953-09,338
1953-10,715
1953-11,882
1953-12,652
1954-01,829
1954-02,799
1954-03,570
1954-04,540
1954-05,904
1954-06,738
1954-07,547
1954-08,809
1954-09,111
1954-10,295
1954-11,705
1954-12,432
1955-01,153
1955-02,929
1955-03,358
1955-04,544
1955-05,272
1955-06,806
1955-07,433
1955-08,708
1955-09,55
1955-10,659
1955-11,282
1955-12,599
1956-01,658
1956-02,968
1956-03,654
1956-04,624
1956-05,315
1956-06,785
1956-07,604
1956-08,552
1956-09,484
1956-10,762
1956-11,370
1956-12,920
1957-01,228
1957-02,675
1957-03,724
1957-04,302
1957-05,533
1957-06,800
1957-07,265
1957-08,895
1957-09,338
1957-10,924
1957-11,100
1957-12,357
1958-01,637
1958-02,498
1958-03,788
1958-04,322
1958-05,667
1958-06,552
1958-07,421
1958-08,703
1958-09,896
